,FIPS,Population,in_out_ratio,mob_in_ratio
"Accomack County, Virginia",051001,32947.0,0.8044077134986226,0.044313594560961546
"Albemarle County, Virginia",051003,106878.0,1.292739340305712,0.12027732554875653
"Allegany County, Maryland",024001,72130.0,1.0662393162393162,0.05534451684458616
"Alleghany County, Virginia",051005,15595.0,0.6527777777777778,0.051234369990381536
"Amelia County, Virginia",051007,12913.0,0.39300411522633744,0.04437388678076357
"Amherst County, Virginia",051009,31633.0,1.0321480759863615,0.06698700723927543
"Anne Arundel County, Maryland",024003,568346.0,0.9609573926328298,0.05976289091504119
"Appomattox County, Virginia",051011,15475.0,0.33605720122574056,0.02126009693053312
"Arlington County, Virginia",051013,230050.0,1.0929356019814775,0.13234948924146925
"Augusta County, Virginia",051015,74997.0,0.8760437929114864,0.06294918463405202
"Baltimore County, Maryland",024005,831026.0,1.1180006327111673,0.055283468868603386
"Bath County, Virginia",051017,4476.0,2.1705069124423964,0.10522788203753351
"Bedford County, Virginia",051019,77960.0,1.0608272506082725,0.06151872755259107
"Bland County, Virginia",051021,6513.0,2.789473684210526,0.11392599416551512
"Botetourt County, Virginia",051023,33231.0,0.7403492647058824,0.048478830008124946
"Brunswick County, Virginia",051025,16243.0,1.0569744597249509,0.06624392045804346
"Buchanan County, Virginia",051027,22178.0,0.5322338830584707,0.03201370727748219
"Buckingham County, Virginia",051029,17048.0,0.9715857011915674,0.06217738151102769
"Calvert County, Maryland",024009,91251.0,0.9578213218199934,0.06321026618886369
"Campbell County, Virginia",051031,54952.0,0.8812809164280135,0.061599213859368174
"Caroline County, Maryland",024011,32850.0,0.943450942484292,0.05942161339421614
"Caroline County, Virginia",051033,30178.0,1.4587525150905432,0.09609649413480019
"Carroll County, Maryland",024013,167656.0,0.9948875255623721,0.04062485088514577
"Carroll County, Virginia",051035,29531.0,0.7466124661246613,0.037316718025126136
"Cecil County, Maryland",024015,102603.0,0.8381523272214386,0.046333927857859905
"Charles City County, Virginia",051036,7071.0,0.6497890295358649,0.043558195446188656
"Charles County, Maryland",024017,157705.0,0.8340170085042521,0.052858184585143145
"Charlotte County, Virginia",051037,12129.0,0.8091603053435115,0.034957539780690904
"Chesterfield County, Virginia",051041,339009.0,1.1546924910003549,0.06717815751204245
"Clarke County, Virginia",051043,14374.0,0.910333048676345,0.07416168081257826
"Craig County, Virginia",051045,5158.0,1.605095541401274,0.048856145792943
"Culpeper County, Virginia",051047,50083.0,0.8913492766459994,0.06027993530738973
"Cumberland County, Virginia",051049,9652.0,0.7475149105367793,0.03895565685868214
"Dickenson County, Virginia",051051,14968.0,0.7101449275362319,0.03273650454302512
"Dinwiddie County, Virginia",051053,28144.0,0.7018722995679308,0.05194712905059693
"Dorchester County, Maryland",024019,32258.0,0.7455811462238886,0.04315208630417261
"Essex County, Virginia",051057,11123.0,1.0093808630393997,0.04836824597680482
"Fairfax County, Virginia",051059,1138652.0,1.0576724045633528,0.0780826802218764
"Fauquier County, Virginia",051061,69069.0,0.9962476547842402,0.06150371367762672
"Floyd County, Virginia",051063,15731.0,1.2145214521452146,0.046786599707583754
"Fluvanna County, Virginia",051065,26271.0,1.2847915443335292,0.08328575235050055
"Franklin County, Virginia",051067,56069.0,1.2938564026646928,0.06235174517112843
"Frederick County, Maryland",024021,247591.0,0.9117566079295154,0.05349952138809569
"Frederick County, Virginia",051069,84421.0,0.8366726296958855,0.055400907357174164
"Garrett County, Maryland",024023,29425.0,1.5461847389558232,0.03925233644859813
"Giles County, Virginia",051071,16857.0,0.48112560054907344,0.04158509817879812
"Gloucester County, Virginia",051073,37214.0,0.8547586829048264,0.050921696135862844
"Goochland County, Virginia",051075,22668.0,0.7679362267493357,0.07649550026469032
"Grayson County, Virginia",051077,15107.0,0.6629353233830846,0.035281657509763684
"Greene County, Virginia",051079,19371.0,0.7816362566215421,0.06855608899901915
"Greensville County, Virginia",051081,11706.0,1.6639566395663956,0.1573552024602768
"Halifax County, Virginia",051083,34992.0,0.949685534591195,0.03452217649748514
"Hanover County, Virginia",051085,104392.0,1.1270999490921432,0.06362556517740824
"Harford County, Maryland",024025,251032.0,1.0884657511163536,0.05146355843079767
"Henrico County, Virginia",051087,326501.0,1.2410538535305102,0.07531064223386759
"Henry County, Virginia",051089,51445.0,1.328331059572533,0.05677908445913111
"Highland County, Virginia",051091,2216.0,4.064516129032258,0.05685920577617329
"Howard County, Maryland",024027,317233.0,1.0031020482642214,0.06931498299357254
"Isle of Wight County, Virginia",051093,36596.0,0.8757741347905282,0.065690239370423
"James City County, Virginia",051095,74404.0,1.29000546149645,0.0952368152249879
"Kent County, Maryland",024029,19730.0,1.0614886731391586,0.08312214901165738
"King George County, Virginia",051099,25984.0,0.9938032532920217,0.09875307881773399
"King William County, Virginia",051101,16334.0,1.3399778516057586,0.07407860903636586
"King and Queen County, Virginia",051097,7159.0,1.0083333333333333,0.05070540578293058
"Lancaster County, Virginia",051103,10972.0,0.6683621566632757,0.05987969376594969
"Lee County, Virginia",051105,24179.0,1.0,0.046279829604201995
"Loudoun County, Virginia",051107,385945.0,1.1883820005325285,0.0693855342082421
"Louisa County, Virginia",051109,35236.0,1.191054665930425,0.06121580202066069
"Lunenburg County, Virginia",051111,12273.0,1.0592592592592593,0.04660637171025829
"Madison County, Virginia",051113,13078.0,0.7734887108521485,0.0812050772289341
"Mathews County, Virginia",051115,8782.0,0.643661971830986,0.052038260077431106
"Mecklenburg County, Virginia",051117,30892.0,0.8407643312101911,0.042729509258060336
"Middlesex County, Virginia",051119,10778.0,1.0234948604992657,0.06466876971608833
"Montgomery County, Maryland",024031,1043863.0,1.1994651648779797,0.06488303541748294
"Montgomery County, Virginia",051121,98602.0,1.6888181925297514,0.14536216303928925
"Nelson County, Virginia",051125,14869.0,1.2035541195476576,0.05010424372856278
"New Kent County, Virginia",051127,21147.0,1.9798245614035088,0.10672908686811368
"Northampton County, Virginia",051131,12139.0,0.5215189873417722,0.03394019276711426
"Northumberland County, Virginia",051133,12222.0,2.402135231316726,0.05522827687776141
"Nottoway County, Virginia",051135,15595.0,0.9925474254742548,0.09394036550176339
"Orange County, Virginia",051137,35533.0,1.0113469985358712,0.07775870317732812
"Page County, Virginia",051139,23654.0,0.7023622047244095,0.03771032383529213
"Patrick County, Virginia",051141,17923.0,1.669281045751634,0.07124923282932545
"Pittsylvania County, Virginia",051143,61687.0,1.1036777583187392,0.051080454552823125
"Powhatan County, Virginia",051145,28443.0,1.2930306230200634,0.08610202861864079
"Prince Edward County, Virginia",051147,23142.0,1.0804179918218992,0.10275689223057644
"Prince George County, Virginia",051149,37845.0,1.1456762749445677,0.1365305852820716
"Prince George's County, Maryland",024033,908049.0,1.155691837535361,0.061636541640374035
"Prince William County, Virginia",051153,455210.0,0.9947817304455168,0.07789371938226314
"Pulaski County, Virginia",051155,34203.0,1.037231253277399,0.057831184399029324
"Queen Anne's County, Maryland",024035,48929.0,1.407996894409938,0.0741278178585297
"Rappahannock County, Virginia",051157,7388.0,0.8743455497382199,0.045208446128857604
"Richmond County, Virginia",051159,8774.0,1.5682967959527825,0.10599498518349669
"Roanoke County, Virginia",051161,94031.0,1.1048473486877344,0.08774765768735843
"Rockbridge County, Virginia",051163,22392.0,0.953715775749674,0.06533583422650947
"Rockingham County, Virginia",051165,79744.0,0.7474061497830597,0.049683988764044944
"Russell County, Virginia",051167,27370.0,0.9515384615384616,0.04519546949214468
"Scott County, Virginia",051169,21930.0,0.9916512059369202,0.048746010031919744
"Shenandoah County, Virginia",051171,43175.0,2.0689851767388827,0.08405327156919513
"Smyth County, Virginia",051173,31062.0,0.9014647137150466,0.04359023887708454
"Somerset County, Maryland",024039,25928.0,2.027011156782149,0.13313792039493982
"Southampton County, Virginia",051175,18057.0,0.6694966646452395,0.06113972420667885
"Spotsylvania County, Virginia",051177,132010.0,1.121800731261426,0.07437315354897356
"St. Mary's County, Maryland",024037,112587.0,1.3490658800393314,0.07311678968264543
"Stafford County, Virginia",051179,144361.0,1.321106719367589,0.11576533828388554
"Surry County, Virginia",051181,6544.0,0.4377224199288256,0.03759168704156479
"Sussex County, Virginia",051183,11504.0,1.6660633484162897,0.16003129346314326
"Talbot County, Maryland",024041,37278.0,1.2280019445794847,0.06776114598422663
"Tazewell County, Virginia",051185,42150.0,0.939167056621432,0.047615658362989324
"Warren County, Virginia",051187,39155.0,1.1791329204383039,0.06321031796705402
"Washington County, Maryland",024043,150292.0,1.1087308506663345,0.0592313629467969
"Washington County, Virginia",051191,54214.0,1.2533692722371967,0.07719408270926328
"Westmoreland County, Virginia",051193,17592.0,1.1115843270868824,0.07418144611186903
"Wicomico County, Maryland",024045,102577.0,1.41623080816602,0.08183120972537704
"Wise County, Virginia",051195,39228.0,0.6209631728045326,0.05587845416539207
"Worcester County, Maryland",024047,51444.0,0.8758152882859379,0.0652554233729881
"Wythe County, Virginia",051197,29016.0,0.9296740994854202,0.03735869864902123
"York County, Virginia",051199,67976.0,1.132603752131893,0.1172325526656467
